name,full_name,stars,forks,watchers,open_issues,size,has_wiki,has_projects,has_downloads,is_fork,archived,created_at,updated_at,pushed_at,language,license,subscribers_count,contributors_count,commits_count,readme_size
MonitorControl,MonitorControl/MonitorControl,29828,855,29828,10,30114,1,1,1,0,0,2017-09-16T21:13:40Z,2025-05-04T06:24:34Z,2025-02-06T10:29:10Z,Swift,mit,30,30,30,9493
AI-Expert-Roadmap,AMAI-GmbH/AI-Expert-Roadmap,29810,2525,29810,22,628,0,0,1,0,0,2020-10-24T21:49:40Z,2025-05-04T06:45:13Z,2023-12-31T02:20:16Z,JavaScript,mit,30,9,30,6146
hutool,chinabugotech/hutool,29785,7581,29785,3,69515,0,1,1,0,0,2014-04-13T07:23:51Z,2025-05-04T02:12:00Z,2025-04-26T05:39:56Z,Java,other,30,30,30,10618
tqdm,tqdm/tqdm,29759,1379,29759,559,6016,1,1,1,0,0,2015-06-03T13:13:14Z,2025-05-03T21:13:26Z,2025-02-05T17:46:50Z,Python,other,30,30,30,53887
foundation-sites,foundation/foundation-sites,29755,5472,29755,64,126117,1,1,1,0,0,2011-10-13T23:05:42Z,2025-05-04T05:40:55Z,2025-01-21T22:11:53Z,HTML,mit,30,30,30,4579
uppy,transloadit/uppy,29752,2050,29752,162,406174,0,1,1,0,0,2015-11-16T12:32:33Z,2025-05-03T08:16:15Z,2025-05-02T22:17:52Z,TypeScript,mit,30,30,30,76046
vue-cli,vuejs/vue-cli,29749,6333,29749,1070,31126,1,1,1,0,0,2015-12-26T23:11:20Z,2025-04-29T15:29:35Z,2025-02-24T14:34:18Z,JavaScript,mit,30,30,30,1376
GPTs,linexjlin/GPTs,29745,4031,29745,8,718,1,1,1,0,0,2023-11-11T03:24:16Z,2025-05-04T02:53:33Z,2024-09-27T03:31:47Z,,,30,30,30,20569
roop,s0md3v/roop,29719,6734,29719,9,99770,1,1,1,0,0,2023-05-28T14:37:54Z,2025-05-04T06:50:25Z,2024-08-19T12:57:17Z,Python,gpl-3.0,30,19,30,4559
fish-shell,fish-shell/fish-shell,29694,2053,29694,460,79637,1,1,1,0,0,2012-05-10T03:00:55Z,2025-05-04T06:41:37Z,2025-05-03T12:16:05Z,Rust,other,30,30,30,9067
leakcanary,square/leakcanary,29679,3979,29679,124,147448,0,0,1,0,0,2015-04-29T23:54:16Z,2025-05-03T02:32:15Z,2025-03-18T22:09:44Z,Kotlin,apache-2.0,30,30,30,824
OpenAPI-Specification,OAI/OpenAPI-Specification,29676,9131,29676,166,7437,1,1,1,0,0,2014-03-03T16:53:36Z,2025-05-04T07:10:30Z,2025-05-01T16:39:35Z,Markdown,apache-2.0,30,30,30,5478
